country;country_txt;region
58;Dominican Republic;2
130;Mexico;1
160;Philippines;5
78;Greece;8
101;Japan;4
217;United States;1
218;Uruguay;3
98;Italy;8
499;East Germany (GDR);9
65;Ethiopia;11
83;Guatemala;2
222;Venezuela;3
362;West Germany (FRG);8
199;Switzerland;8
102;Jordan;10
185;Spain;8
30;Brazil;3
60;Egypt;10
11;Argentina;3
110;Lebanon;10
96;Ireland;8
209;Turkey;10
158;Paraguay;3
94;Iran;10
603;United Kingdom;8
45;Colombia;3
26;Bolivia;3
145;Nicaragua;2
142;Netherlands;8
21;Belgium;8
97;Israel;10
38;Canada;1
14;Australia;12
153;Pakistan;6
230;Zambia;11
198;Sweden;8
49;Costa Rica;2
406;South Yemen;10
36;Cambodia;5
201;Taiwan;4
156;Panama;2
106;Kuwait;10
155;West Bank and Gaza Strip;10
15;Austria;8
236;Czechoslovakia;9
92;India;6
69;France;8
428;South Vietnam;5
6;Algeria;10
61;El Salvador;2
205;Thailand;5
87;Haiti;2
195;Sudan;11
136;Morocco;10
53;Cyprus;8
138;Myanmar;5
4;Afghanistan;6
159;Peru;3
43;Chile;3
88;Honduras;2
235;Yugoslavia;9
59;Ecuador;3
144;New Zealand;12
604;Zaire;11
162;Portugal;8
121;Malaysia;5
178;Singapore;5
29;Botswana;11
100;Jamaica;2
42;Chad;11
377;North Yemen;10
7;Andorra;8
200;Syria;10
184;South Korea;4
215;United Arab Emirates;10
183;South Africa;11
104;Kenya;11
95;Iraq;10
182;Somalia;11
203;Tanzania;11
186;Sri Lanka;6
139;Namibia;11
17;Bahamas;2
20;Barbados;2
207;Trinidad and Tobago;2
19;Bangladesh;6
605;People's Republic of the Congo;11
8;Angola;11
128;Mauritania;11
173;Saudi Arabia;10
56;Djibouti;11
93;Indonesia;5
124;Malta;8
403;Rhodesia;11
359;Soviet Union;9
55;Denmark;8
349;Western Sahara;10
86;Guyana;3
137;Mozambique;11
208;Tunisia;10
213;Uganda;11
151;Norway;8
161;Poland;9
111;Lesotho;11
72;Gabon;11
113;Libya;10
18;Bahrain;10
147;Nigeria;11
89;Hong Kong;4
174;Senegal;11
231;Zimbabwe;11
84;Guinea;11
80;Grenada;2
532;New Hebrides;12
22;Belize;2
81;Guadeloupe;2
127;Martinique;2
221;Vatican City;8
5;Albania;9
41;Central African Republic;11
176;Seychelles;11
57;Dominica;2
164;Qatar;10
32;Bulgaria;9
196;Suriname;3
197;Swaziland;11
116;Luxembourg;8
91;Iceland;8
70;French Guiana;3
66;Falkland Islands;3
33;Burkina Faso;11
143;New Caledonia;12
166;Romania;9
146;Niger;11
141;Nepal;6
204;Togo;11
68;Finland;8
67;Fiji;12
76;Ghana;11
129;Mauritius;6
90;Hungary;9
108;Laos;5
157;Papua New Guinea;12
44;China;4
112;Liberia;11
47;Republic of the Congo;11
123;Mali;11
75;Germany;8
228;Yemen;10
168;Rwanda;11
177;Sierra Leone;11
37;Cameroon;11
51;Cuba;2
50;Croatia;9
74;Georgia;7
16;Azerbaijan;7
119;Madagascar;11
115;Lithuania;9
34;Burundi;11
214;Ukraine;9
132;Moldova;9
12;Armenia;7
167;Russia;9
99;Ivory Coast;11
103;Kazakhstan;7
10;Antigua and Barbuda;2
28;Bosnia-Herzegovina;9
62;Equatorial Guinea;11
202;Tajikistan;7
120;Malawi;11
219;Uzbekistan;7
109;Latvia;9
31;Brunei;5
64;Estonia;9
223;Vietnam;5
46;Comoros;11
23;Benin;11
179;Slovak Republic;9
118;Macedonia;9
226;Wallis and Futuna;12
35;Belarus;9
54;Czech Republic;9
180;Slovenia;9
73;Gambia;11
149;North Korea;4
63;Eritrea;11
189;St. Kitts and Nevis;2
71;French Polynesia;12
117;Macau;4
107;Kyrgyzstan;7
220;Vanuatu;12
229;Democratic Republic of the Congo;11
1003;Kosovo;9
181;Solomon Islands;12
347;East Timor;5
190;St. Lucia;2
85;Guinea-Bissau;11
1002;Montenegro;9
422;International;10
210;Turkmenistan;7
175;Serbia-Montenegro;9
122;Maldives;6
25;Bhutan;6
1001;Serbia;9
1004;South Sudan;11