natlty1;natlty1_txt
58;Dominican Republic
21;Belgium
217;United States
218;Uruguay
75;Germany
216;Great Britain
222;Venezuela
163;Puerto Rico
97;Israel
15;Austria
199;Switzerland
102;Jordan
65;Ethiopia
185;Spain
101;Japan
422;International
60;Egypt
158;Paraguay
359;Soviet Union
96;Ireland
11;Argentina
160;Philippines
44;China
155;West Bank and Gaza Strip
999;Multinational
233;Northern Ireland
30;Brazil
87;Haiti
183;South Africa
162;Portugal
45;Colombia
78;Greece
145;Nicaragua
93;Indonesia
235;Yugoslavia
98;Italy
403;Rhodesia
99;Ivory Coast
94;Iran
38;Canada
161;Poland
198;Sweden
209;Turkey
49;Costa Rica
167;Russia
95;Iraq
51;Cuba
69;France
120;Malawi
229;Democratic Republic of the Congo
142;Netherlands
43;Chile
89;Hong Kong
228;Yemen
130;Mexico
200;Syria
92;India
144;New Zealand
174;Senegal
6;Algeria
159;Peru
236;Czechoslovakia
173;Saudi Arabia
55;Denmark
362;West Germany (FRG)
17;Bahamas
26;Bolivia
61;El Salvador
29;Botswana
83;Guatemala
110;Lebanon
149;North Korea
5;Albania
184;South Korea
153;Pakistan
104;Kenya
53;Cyprus
156;Panama
186;Sri Lanka
59;Ecuador
121;Malaysia
136;Morocco
182;Somalia
139;Namibia
12;Armenia
20;Barbados
106;Kuwait
137;Mozambique
147;Nigeria
86;Guyana
201;Taiwan
208;Tunisia
138;Myanmar
207;Trinidad and Tobago
128;Mauritania
32;Bulgaria
205;Thailand
18;Bahrain
68;Finland
223;Vietnam
215;United Arab Emirates
124;Malta
14;Australia
231;Zimbabwe
230;Zambia
8;Angola
151;Norway
100;Jamaica
213;Uganda
50;Croatia
111;Lesotho
203;Tanzania
84;Guinea
67;Fiji
56;Djibouti
113;Libya
63;Eritrea
4;Afghanistan
88;Honduras
604;Zaire
123;Mali
19;Bangladesh
80;Grenada
220;Vanuatu
22;Belize
377;North Yemen
166;Romania
195;Sudan
42;Chad
41;Central African Republic
112;Liberia
176;Seychelles
57;Dominica
605;People's Republic of the Congo
46;Comoros
196;Suriname
221;Vatican City
115;Lithuania
81;Guadeloupe
127;Martinique
349;Western Sahara
197;Swaziland
33;Burkina Faso
125;Man, Isle of
143;New Caledonia
36;Cambodia
178;Singapore
238;Corsica
116;Luxembourg
146;Niger
141;Nepal
90;Hungary
204;Togo
91;Iceland
520;Sinhalese
76;Ghana
129;Mauritius
157;Papua New Guinea
164;Qatar
168;Rwanda
37;Cameroon
64;Estonia
177;Sierra Leone
109;Latvia
79;Greenland
28;Bosnia-Herzegovina
119;Madagascar
34;Burundi
16;Azerbaijan
103;Kazakhstan
74;Georgia
10;Antigua and Barbuda
351;Commonwealth of Independent States
214;Ukraine
132;Moldova
62;Equatorial Guinea
202;Tajikistan
108;Laos
31;Brunei
219;Uzbekistan
175;Serbia-Montenegro
47;Republic of the Congo
72;Gabon
179;Slovak Republic
118;Macedonia
134;Mongolia
23;Benin
35;Belarus
152;Oman
54;Czech Republic
73;Gambia
334;Asian
1001;Serbia
189;St. Kitts and Nevis
107;Kyrgyzstan
117;Macau
180;Slovenia
70;French Guiana
347;East Timor
1003;Kosovo
181;Solomon Islands
190;St. Lucia
85;Guinea-Bissau
1002;Montenegro
25;Bhutan
122;Maldives
24;Bermuda
192;St. Martin
1004;South Sudan
603;United Kingdom
210;Turkmenistan
169;Saba (Netherlands Antilles)
212;Tuvalu